"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2009",10,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2010",9,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2011",11,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2012",12,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2013",10,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2014",10,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2015",9,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2016",9,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",12,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",13,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",14,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",16,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",4,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",16,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2001",0,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2002",0,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2003",1,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2004",2,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2005",8,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2006",11,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2007",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2008",12,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2009",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2010",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2011",11,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2012",12,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2013",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2014",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2015",9,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2016",9,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",11,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",12,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",14,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",2,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",12,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2001",1,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2002",2,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2003",3,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2004",2,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2005",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2006",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2007",12,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2008",15,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2009",12,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2010",10,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2011",12,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2012",13,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2013",10,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2014",11,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2015",10,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2016",9,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2017",12,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2018",13,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2019",15,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2020",16,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2021",11,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2022",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2001",11,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2002",16,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2003",18,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2004",22,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2005",28,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2006",30,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2007",30,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2008",32,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2009",30,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2010",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2011",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2012",32,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2013",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2014",30,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2015",30,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2016",28,
